sku,producto,current_price,cost,competitor_ref,ref_store,decision,suggested,delta,reason
"AC50","Smartphone Acer Sospiro AC50, Blanco",2599,2142.71,,"N/A",hold,2599,0.00,"competitor data missing, holding current"
"BCM35","Cafetera Espresso Capuccino Bogner, para 4 tazas, ",2145.99,936.75,1189.3,"Mercado Libre",lower_to_competitor,1189.3,-956.69,"competitor_min above margin_floor"
"BEFP42","Sartén Eléctrico Bogner, Redondo 42 cm",1953.97,831.75,1049.3,"Mercado Libre",lower_to_competitor,1049.3,-904.67,"competitor_min above margin_floor"
"55QNED82ASG","Pantalla 55 pulgadas LG AI QNED QNED82 4K Smart TV",11899,11600,11011.87,"Mercado Libre",manual_review,,,"current_price below floor, manual review"
"86UA7500PSA","Pantalla 86 pulgadas LG UHD AI UA75 4K SMART TV 20",20199,11600,11011.87,"Mercado Libre",hold_above_floor,13340,-6859.00,"competitor_min below margin_floor"
"OLED55C5ESA","Pantalla 55 pulgadas LG AI OLED evo C5E 4K Smart T",20399,11600,11011.87,"Mercado Libre",hold_above_floor,13340,-7059.00,"competitor_min below margin_floor"
"65QNED82ASG","Pantalla 65 pulgadas LG AI QNED QNED82 4K Smart TV",14599,11600,20458.97,"Sams Club",hold,14599,0.00,"already at or below competitor, no change"
"XG8T","Bocina Bluetooth portátil LG XBOOM Go XG8T de grad",6299,11600,4999,"Mercado Libre",manual_review,,,"current_price below floor, manual review"
"SK1D","Barra de sonido LG SK1D, 2.0 canales, conectividad",1899,11600,1683,"Mercado Libre",manual_review,,,"current_price below floor, manual review"
"BUDS","Audífonos Bluetooth LG xboom Buds by will.i.am, xb",1999,11600,2799,"LG",manual_review,,,"current_price below floor, manual review"
"32LR650BPSA","Pantalla LG AI SMART TV LR65 32 pulgadas SMART TV ",4799,3999,3950,"Mercado Libre",hold_above_floor,4598.85,-200.15,"competitor_min below margin_floor"
"VT45AWP","Refrigerador LG Top Mount ThinQ 16 pies",16199,12199,16359.82,"Sams Club",hold,16199,0.00,"within 1% of competitor, no change"
"VS23BEP","Refrigerador LG Side by Side 23 pies cúbicos Negro",19999,18899,22043.6,"Sams Club",manual_review,,,"current_price below floor, manual review"
"GM39BVP","Refrigerador Instaview™ French Door 29 pies³",26999,24999,24499,"Coppel",manual_review,,,"current_price below floor, manual review"
"MS1596CIR","Horno Microondas NeoChef™ 1.4 pies³ EasyClean",3599,3665.55,3298,"Mercado Libre",manual_review,,,"current_price below floor, manual review"
"MS1597DIS","Horno Microondas NeoChef™ 1.5 pies³ EasyClean",3399,3332.23,3399,"Coppel",manual_review,,,"current_price below floor, manual review"
"WP15WAR","Lavadora LG Carga Superior Doble tina 15 kg",8099,7499.01,10049,"Mercado Libre",manual_review,,,"current_price below floor, manual review"
"WM20WV26R","Lavadora LG Carga Frontal AI DD™ 20kg",22599,20999,21499,"LG",manual_review,,,"current_price below floor, manual review"
"WT22MT6HK","Aspiradora Inalámbrica LG CordZero™ Gris",12399,11999.01,12499,"Coppel",manual_review,,,"current_price below floor, manual review"
"WT18WV6","Lavadora AI DD™, PetCare Filtro atrapa pelusas, 18",8499,8499,8799,"Sears",manual_review,,,"current_price below floor, manual review"
